"","Word","SocPhys.Mean","SocPhys.SD","V.Mean.Sum","V.SD.Sum","SUBTLWF","Valence","Concreteness","word_length"
"264","uncooperative",6.4,0.894427190999916,2.86,1.46,0.63,"negative","abstract",13
"265","uneasy",4.6,2.50998007960223,2.86,1.04,2.08,"negative","abstract",6
"266","unethical",6.125,1.31021626713557,2.19,1.36,1.76,"negative","abstract",9
"267","unfaithful",6,1.4142135623731,2.33,1.75,2.35,"negative","abstract",10
"268","unfeeling",6.4375,1.03077640640442,2.79,1.18,0.65,"negative","neutral",9
"269","unfit",4.57142857142857,1.13389341902768,2.95,1.39,1.55,"negative","abstract",5
"270","unforgivable",6.1,1.4105827128331,2.33,1.61,1.96,"negative","abstract",12
"271","unforgiving",6.54545454545455,0.934198732993827,2.41,1.59,0.51,"negative","abstract",11
"272","unfriendly",6.6,0.547722557505166,2.3,1.87,1.04,"negative","neutral",10
"273","ungrateful",6.22727272727273,1.57152695481082,2.68,1.45,4.61,"negative","abstract",10
"274","unhealthy",3.7,1.93748449125307,2.55,1.47,1.63,"negative","neutral",9
"275","unique",4.2,1.71269767715535,7.32,1.11,13.65,"positive","abstract",6
"276","unkind",6.85714285714286,0.377964473009227,2.55,1.54,1.39,"negative","neutral",6
"277","unpaid",3.45454545454545,1.80906806746658,2.58,1.3,1,"negative","neutral",6
"278","unpleasant",4.72727272727273,2.25054106048636,2.53,1.43,6.1,"negative","abstract",10
"279","unreliable",5.54545454545455,1.57249078621379,2.74,1.19,1.67,"negative","abstract",10
"280","unsanitary",1.8125,1.16726175299288,1.79,1.23,0.41,"negative","neutral",10
"281","unsuccessful",6.2,0.836660026534076,2.33,1.39,0.86,"negative","neutral",12
"282","useful",4.90909090909091,1.75809814598307,7.1,1.25,13.12,"positive","neutral",6
"283","valuable",4.71428571428571,1.25356634105602,7.17,1.42,15.59,"positive","neutral",8
"284","vengeful",5.8,1.30384048104053,2.16,1.42,1,"negative","neutral",8
"285","vile",5.27272727272727,2.00454030096225,2.21,1.44,4.43,"negative","neutral",4
"286","wimpy",5.6,1.51657508881031,2.76,1.3,0.84,"negative","neutral",5
"287","witty",6.63636363636364,0.902137912878521,7.25,1.21,3.2,"positive","neutral",5
"288","wretched",5.28571428571429,2.36038737740833,2.57,1.36,3.63,"negative","neutral",8
"289","yummy",2.5,2.01777812740365,7.52,1.94,4.47,"positive","neutral",5
